Dates	ComFreq
10/24/16	1
10/24/16	2
10/24/16	3
10/30/16	4
10/31/16	5
10/31/16	6
10/31/16	7
11/8/16	8
11/8/16	9
11/8/16	10
11/9/16	11
11/11/16	12
11/11/16	13
11/13/16	14
11/13/16	15
11/14/16	16
11/15/16	17
11/15/16	18
11/15/16	19
11/15/16	20
11/15/16	21
11/18/16	22
11/18/16	23
11/19/16	24
11/24/16	25
11/24/16	26
11/25/16	27
11/25/16	28
11/25/16	29
11/25/16	30
11/27/16	31
12/4/16	32
12/8/16	33
12/8/16	34
12/13/16	35
12/13/16	36
12/13/16	37
1/3/17	38
1/5/17	39
1/5/17	40
1/5/17	41
1/5/17	42
1/5/17	43
1/5/17	44
1/8/17	45
1/9/17	46
1/12/17	47
1/12/17	48
1/13/17	49
1/13/17	50
1/13/17	51
1/13/17	52
1/13/17	53
1/13/17	54
1/17/17	55
1/17/17	56
1/17/17	57
1/17/17	58
1/17/17	59
1/17/17	60
1/17/17	61
1/17/17	62
1/17/17	63
1/17/17	64
1/17/17	64
1/17/17	65
1/17/17	66
1/17/17	67
1/17/17	68
1/17/17	69
1/17/17	70
1/17/17	71
1/17/17	72
1/17/17	73
1/17/17	74
1/17/17	75
1/18/17	76
1/23/17	77
1/23/17	78
1/23/17	79
1/25/17	80
1/25/17	81
1/25/17	82
1/27/17	83
1/27/17	84
1/27/17	85
1/27/17	86
1/27/17	87
1/27/17	88
1/29/17	89
1/29/17	90
1/29/17	91
1/29/17	92
1/29/17	93
2/1/17	94
2/2/17	95
2/2/17	96
2/2/17	97
2/2/17	98
2/2/17	99
2/2/17	100
2/3/17	101
2/3/17	102
2/3/17	103
2/3/17	104
2/3/17	105
2/3/17	106
2/3/17	107
2/3/17	108
2/3/17	109
2/3/17	110
2/3/17	111
2/3/17	112
2/3/17	113
2/4/17	114
2/4/17	115
2/4/17	116
2/4/17	117
2/4/17	118
2/4/17	119
2/4/17	120
2/4/17	121
2/4/17	122
2/4/17	123
2/5/17	124
2/5/17	125
2/5/17	126
2/5/17	127
2/5/17	128
2/5/17	129
2/5/17	130
2/5/17	131
2/5/17	132
2/5/17	133
2/5/17	134
2/5/17	135
2/5/17	136
2/5/17	137
2/5/17	138
2/5/17	139
2/5/17	140
2/5/17	141
2/5/17	142
2/5/17	143
2/5/17	144
2/6/17	145
2/6/17	146
2/6/17	147
2/7/17	148
2/7/17	149
2/7/17	150
2/7/17	151
2/7/17	152
2/7/17	153
2/8/17	154
2/9/17	155
2/9/17	156
2/9/17	157
2/9/17	158
2/9/17	159
2/9/17	160
2/9/17	161
2/9/17	162
2/9/17	163
2/9/17	164
2/9/17	165
2/9/17	166
2/9/17	167
2/10/17	168
2/10/17	169
2/10/17	170
2/10/17	171
2/10/17	172
2/10/17	173
2/10/17	174
2/10/17	175
2/10/17	176
