Dates	ComFreq
1/2/17	1
1/2/17	2
1/2/17	3
1/2/17	4
1/2/17	5
1/2/17	6
1/2/17	6
1/2/17	7
1/2/17	8
1/2/17	9
1/2/17	10
1/2/17	11
1/3/17	12
1/3/17	13
1/3/17	14
1/3/17	15
1/3/17	16
1/3/17	17
1/3/17	18
1/3/17	19
1/3/17	20
1/3/17	21
1/3/17	22
1/3/17	23
1/3/17	24
1/3/17	25
1/3/17	26
1/3/17	26
1/4/17	27
1/4/17	28
1/4/17	29
1/4/17	30
1/4/17	31
1/4/17	32
1/4/17	33
1/5/17	34
1/5/17	35
1/5/17	36
1/6/17	37
1/6/17	38
1/8/17	39
1/8/17	40
1/8/17	41
1/8/17	42
1/8/17	43
1/8/17	44
1/8/17	45
1/8/17	46
1/8/17	47
1/8/17	48
1/9/17	49
1/9/17	50
1/9/17	51
1/9/17	52
1/9/17	53
1/9/17	53
1/9/17	53
1/9/17	54
1/9/17	55
1/9/17	56
1/9/17	57
1/9/17	58
1/9/17	59
1/9/17	60
1/10/17	61
1/10/17	62
1/10/17	63
1/10/17	64
1/10/17	65
1/10/17	66
1/10/17	66
1/10/17	67
1/10/17	68
1/10/17	69
1/10/17	70
1/10/17	71
1/10/17	71
1/10/17	71
1/10/17	72
1/12/17	73
1/12/17	74
1/12/17	74
1/12/17	74
1/12/17	75
1/12/17	76
1/12/17	77
1/12/17	78
1/12/17	79
1/12/17	80
1/13/17	81
1/13/17	82
1/13/17	83
1/13/17	84
1/13/17	85
1/13/17	86
1/13/17	87
1/13/17	88
1/13/17	89
1/13/17	90
1/14/17	91
1/14/17	92
1/14/17	93
1/14/17	94
1/14/17	95
1/14/17	96
1/14/17	97
1/14/17	98
1/14/17	99
1/14/17	100
1/14/17	101
1/14/17	102
1/14/17	102
1/14/17	103
1/14/17	104
1/14/17	105
1/14/17	106
1/14/17	107
1/14/17	108
1/14/17	109
1/14/17	110
1/14/17	111
1/14/17	112
1/14/17	113
1/14/17	114
1/14/17	115
1/14/17	116
1/14/17	117
1/14/17	118
1/14/17	119
1/14/17	120
1/14/17	121
1/14/17	122
1/14/17	123
1/14/17	124
1/14/17	125
1/14/17	126
1/14/17	127
1/14/17	128
1/14/17	129
1/14/17	130
1/14/17	131
1/14/17	132
1/14/17	133
1/14/17	134
1/14/17	135
1/14/17	136
1/14/17	137
1/14/17	138
1/14/17	139
1/15/17	140
1/15/17	141
1/15/17	142
1/15/17	143
1/15/17	144
1/15/17	145
1/15/17	146
1/17/17	147
1/17/17	148
1/17/17	149
1/17/17	149
1/17/17	150
1/17/17	151
1/17/17	151
1/17/17	151
1/17/17	151
1/17/17	151
1/17/17	151
1/17/17	151
1/17/17	152
1/17/17	152
1/17/17	152
1/17/17	153
1/17/17	154
1/17/17	154
1/17/17	155
1/17/17	155
1/17/17	156
1/17/17	157
1/17/17	158
1/17/17	159
1/17/17	160
1/17/17	161
1/17/17	162
1/17/17	162
1/17/17	163
1/17/17	164
1/17/17	165
1/17/17	166
1/17/17	167
1/17/17	167
1/17/17	168
1/17/17	169
1/17/17	170
1/17/17	171
1/17/17	172
1/17/17	173
1/17/17	174
1/17/17	175
1/17/17	175
1/17/17	175
1/17/17	176
1/17/17	177
1/17/17	178
1/17/17	179
1/17/17	180
1/17/17	181
1/17/17	182
1/17/17	183
1/17/17	184
1/17/17	185
1/17/17	186
1/17/17	187
1/17/17	188
1/17/17	189
1/17/17	190
1/17/17	190
1/17/17	191
1/17/17	192
1/17/17	193
1/17/17	194
1/17/17	195
1/17/17	196
1/18/17	197
1/18/17	198
1/18/17	199
1/18/17	200
1/18/17	201
1/18/17	202
1/18/17	203
1/19/17	204
1/19/17	205
1/19/17	206
1/19/17	207
1/20/17	208
1/20/17	209
1/20/17	210
1/20/17	211
1/20/17	212
1/20/17	213
1/20/17	214
1/20/17	214
1/20/17	214
1/20/17	215
1/20/17	216
1/20/17	217
1/20/17	218
1/22/17	219
1/22/17	220
1/22/17	221
1/22/17	222
1/22/17	223
1/22/17	224
1/22/17	225
1/22/17	226
1/22/17	227
1/22/17	228
1/22/17	229
1/24/17	230
1/24/17	231
1/24/17	232
1/24/17	233
1/24/17	234
1/24/17	235
1/24/17	236
1/24/17	237
1/24/17	238
1/24/17	239
1/24/17	240
1/24/17	241
1/24/17	242
1/24/17	243
1/24/17	244
1/25/17	245
1/25/17	246
1/25/17	246
1/25/17	247
1/25/17	248
1/25/17	249
1/25/17	250
1/25/17	251
1/25/17	252
1/25/17	253
1/25/17	254
1/25/17	255
1/25/17	256
1/26/17	257
1/26/17	258
1/26/17	259
1/26/17	260
1/26/17	261
1/26/17	262
1/26/17	263
1/26/17	264
1/26/17	265
1/26/17	266
1/28/17	267
1/28/17	268
1/28/17	269
1/28/17	270
1/28/17	271
1/28/17	272
1/28/17	273
1/28/17	274
1/28/17	275
1/28/17	276
1/28/17	277
1/28/17	278
1/28/17	278
1/28/17	279
1/28/17	280
1/28/17	281
1/28/17	282
1/28/17	282
1/28/17	282
1/28/17	283
1/28/17	284
1/28/17	285
1/28/17	285
1/28/17	286
1/28/17	287
1/28/17	287
1/28/17	288
1/28/17	289
1/28/17	290
1/28/17	291
1/28/17	292
1/28/17	293
1/28/17	294
1/28/17	295
1/28/17	296
1/28/17	297
1/28/17	298
1/28/17	299
1/28/17	300
1/28/17	301
1/28/17	302
1/28/17	303
1/28/17	304
1/28/17	305
1/28/17	306
1/28/17	307
1/28/17	308
1/28/17	309
1/28/17	310
1/28/17	311
1/28/17	312
1/28/17	313
1/28/17	314
1/28/17	315
1/28/17	316
1/28/17	317
1/28/17	318
1/28/17	319
1/28/17	320
1/28/17	321
1/28/17	322
1/28/17	323
1/28/17	324
1/28/17	325
1/28/17	326
1/28/17	327
1/28/17	328
1/28/17	329
1/28/17	330
1/28/17	331
1/28/17	332
1/28/17	332
1/28/17	333
1/28/17	334
1/28/17	335
1/28/17	336
1/28/17	337
1/28/17	337
1/28/17	338
1/28/17	339
1/28/17	340
1/28/17	340
1/28/17	341
1/28/17	342
1/28/17	343
1/28/17	344
1/28/17	345
1/28/17	346
1/28/17	347
1/28/17	348
1/28/17	349
1/28/17	349
1/28/17	350
1/28/17	351
1/28/17	352
1/28/17	353
1/28/17	353
1/28/17	353
1/28/17	354
1/28/17	355
1/28/17	356
1/28/17	357
1/28/17	358
1/28/17	359
1/28/17	360
1/28/17	361
1/28/17	362
1/28/17	363
1/28/17	364
1/28/17	365
1/28/17	366
1/28/17	367
1/28/17	368
1/28/17	369
1/28/17	370
1/28/17	371
1/28/17	372
1/28/17	373
1/28/17	374
1/28/17	375
1/28/17	375
1/28/17	376
1/28/17	377
1/28/17	378
1/28/17	379
1/28/17	380
1/28/17	381
1/28/17	382
1/28/17	383
1/28/17	384
1/28/17	385
1/28/17	386
1/28/17	387
1/28/17	388
1/28/17	389
1/28/17	390
1/28/17	391
1/28/17	392
1/28/17	393
1/28/17	393
1/28/17	394
1/28/17	395
1/28/17	396
1/28/17	397
1/28/17	398
1/28/17	399
1/28/17	400
1/28/17	401
1/28/17	402
1/28/17	403
1/28/17	404
1/28/17	405
1/28/17	406
1/28/17	407
1/28/17	408
1/28/17	409
1/28/17	410
1/28/17	411
1/28/17	412
1/28/17	413
1/28/17	414
1/28/17	415
1/28/17	416
1/28/17	417
1/28/17	418
1/28/17	419
1/28/17	420
1/28/17	421
1/28/17	421
1/28/17	422
1/28/17	423
1/28/17	424
1/28/17	425
1/28/17	426
1/28/17	427
1/28/17	427
1/28/17	428
1/28/17	429
