Dates	ComFreq
10/24/16	1
10/27/16	2
10/27/16	3
10/30/16	4
11/1/16	5
11/15/16	6
11/15/16	7
11/20/16	8
11/25/16	9
12/8/16	10
12/8/16	11
12/8/16	12
12/8/16	13
12/11/16	14
12/15/16	15
12/15/16	16
12/18/16	17
12/26/16	18
12/26/16	19
12/26/16	20
12/27/16	21
12/27/16	22
12/27/16	23
1/24/17	24
1/24/17	25
1/24/17	26
1/28/17	27
1/28/17	28
1/28/17	29
1/28/17	30
1/28/17	31
2/5/17	32
2/5/17	33
2/5/17	34
2/8/17	35
2/8/17	35
2/16/17	36
3/3/17	37
3/20/17	38
3/25/17	39
3/25/17	40
3/25/17	41
3/25/17	42
3/28/17	43
3/28/17	44
3/28/17	45
3/28/17	46
3/28/17	47
3/28/17	48
3/28/17	49
3/28/17	50
3/28/17	51
3/30/17	52
3/31/17	53
3/31/17	53
4/21/17	54
4/27/17	55
5/4/17	56
5/4/17	57
5/4/17	58
5/4/17	59
5/4/17	60
5/6/17	61
5/6/17	61
5/13/17	62
5/15/17	63
5/15/17	64
