Dates	ComFreq
1/2/17	1
1/2/17	2
1/2/17	3
1/2/17	4
1/2/17	5
1/2/17	6
1/3/17	7
1/3/17	8
1/4/17	9
1/15/17	10
1/19/17	11
1/19/17	12
1/23/17	13
1/24/17	14
1/24/17	15
1/24/17	16
2/3/17	17
2/5/17	18
2/5/17	19
2/8/17	20
2/8/17	21
2/8/17	22
2/8/17	23
2/9/17	24
2/16/17	25
2/21/17	26
3/3/17	27
3/3/17	28
3/3/17	29
3/4/17	30
3/4/17	31
3/4/17	32
3/7/17	33
3/7/17	34
3/12/17	35
3/14/17	36
3/14/17	37
3/14/17	38
3/14/17	39
3/14/17	40
3/15/17	41
3/15/17	42
3/15/17	43
3/15/17	44
3/15/17	45
3/15/17	46
3/15/17	47
3/15/17	48
3/15/17	49
3/20/17	50
3/20/17	51
3/20/17	52
3/20/17	53
3/20/17	54
3/22/17	55
3/31/17	56
4/2/17	57
4/2/17	58
4/12/17	59
4/12/17	59
4/12/17	59
4/16/17	60
4/18/17	61
4/18/17	62
4/18/17	63
4/18/17	64
4/18/17	65
5/3/17	66
5/4/17	67
5/4/17	68
5/6/17	69
5/6/17	70
5/6/17	71
5/6/17	72
5/6/17	73
5/6/17	74
5/7/17	75
5/7/17	76
5/7/17	77
5/7/17	78
5/8/17	79
5/9/17	80
5/12/17	81
5/12/17	82
5/13/17	83
5/15/17	84
5/15/17	85
5/15/17	86
5/18/17	87
5/21/17	88
